title,category,rating,quote
搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,2004 / 日本 / 动画 奇幻 冒险,9.0,带着心爱的人在天空飞翔。
罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),1953 / 美国 / 喜剧 剧情 爱情,9.0,爱情哪怕只有一天。
闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,1992 / 美国 / 剧情,9.0,史上最美的探戈。
辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),2013 / 韩国 / 剧情,9.2,电影的现实意义大过电影本身。
末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,2006 / 德国 / 剧情 悬疑,9.1,别样人生。
寻梦环游记 / Coco / 可可夜总会(台)  /  玩转极乐园(港),2017 / 美国 / 喜剧 动画 奇幻 音乐,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",1998 / 英国 / 剧情 喜剧 犯罪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
素媛 / 소원 / 许愿  /  希望：为爱重生(台),2013 / 韩国 / 剧情,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),1989 / 美国 / 剧情,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,1975 / 美国 / 剧情,9.1,自由万岁。
指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.0,承前启后的史诗篇章。
教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,1974 / 美国 / 剧情 犯罪,9.2,优雅的孤独。
V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,8.9,一张面具背后的理想与革命。
指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,9.0,传说的开始。
狮子王 / The Lion King / 狮子王3D,1994 / 美国 / 剧情 动画 冒险 歌舞 家庭,9.0,动物版《哈姆雷特》。
饮食男女 / 飲食男女 / Eat Drink Man Woman,1994 / 台湾 美国 / 剧情 家庭,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),2001 / 美国 / 传记 剧情,9.0,爱是一切逻辑和原由。
海豚湾 / The Cove / 血色海湾(台)  /  海湾,2009 / 美国 / 纪录片,9.3,海豚的微笑，是世界上最高明的伪装。
情书 / Love Letter / When I Close My Eyes  /  Letters of Love,1995 / 日本 / 剧情 爱情,8.9,暗恋的极致。
钢琴家 / The Pianist / 战地琴声(台)  /  战地琴人,2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,9.1,音乐能化解仇恨。
